id, employee_id, date, reason, is_unpaid
1,11,2026-01-08,Vacaciones,False
2,13,2026-01-29,Salida no pagada,True
3,7,2026-02-09,Cita médica,False
4,12,2026-02-12,Salida por enfermedad,False
5,13,2026-02-23,Salida por enfermedad,False
6,6,2026-02-27,Ausencia no justificada,True
7,16,2026-03-24,Emergencia personal,False
8,14,2026-04-18,Salida no pagada,True
9,18,2026-04-20,Salida por enfermedad,False
10,12,2026-04-23,Salida no pagada,True
11,6,2026-05-18,Vacaciones,False
12,14,2026-05-24,Emergencia personal,False
13,8,2026-06-03,Salida por enfermedad,False
14,14,2026-06-12,Vacaciones,False
15,10,2026-07-02,Emergencia personal,False
