id, employee_id, period, gross_pay, deductions, net_pay
1,4,2026-07,6403.27,1280.65,5122.62
2,5,2026-07,5450.98,1090.2,4360.78
3,6,2026-07,5568.95,1113.79,4455.16
4,7,2026-07,6018.82,1203.76,4815.06
5,8,2026-07,9200.95,1840.19,7360.76
6,9,2026-07,4032.98,806.6,3226.38
7,10,2026-07,9343.16,1868.63,7474.53
8,11,2026-07,6676.05,1335.21,5340.84
9,12,2026-07,9869.27,1973.85,7895.42
10,13,2026-07,3926.7,785.34,3141.36
11,14,2026-07,9533.51,1906.7,7626.81
12,15,2026-07,6118.25,1223.65,4894.6
13,16,2026-07,9952.28,1990.46,7961.82
14,17,2026-07,7370.69,1474.14,5896.55
15,18,2026-07,4232.16,846.43,3385.73
